Date,Time,TypeOfWash
15/12/2021,10:25 PM,Economy
15/12/2021,10:35 PM,Economy
15/12/2021,10:40 PM,Deluxe
16/12/2021,11:13 AM,Deluxe
16/12/2021,12:13 PM,Economy
16/12/2021,12:14 PM,Economy
16/12/2021,12:14 PM,Economy
16/12/2021,12:15 PM,Economy
16/12/2021,12:16 PM,Deluxe
16/12/2021,02:55 PM,Economy
16/12/2021,03:10 PM,Economy
16/12/2021,03:12 PM,Economy
16/12/2021,03:13 PM,Economy
16/12/2021,03:13 PM,Economy
16/12/2021,03:14 PM,Economy
16/12/2021,03:26 PM,Deluxe
16/12/2021,03:27 PM,Economy
16/12/2021,03:31 PM,Economy
16/12/2021,10:53 PM,Economy
16/12/2021,11:19 PM,Economy
19/12/2021,11:33 PM,Economy
19/12/2021,11:33 PM,Deluxe
